employee_id,age,gender,department,job_role,monthly_income,years_at_company,overtime,job_satisfaction,work_life_balance,training_hours,performance_rating,distance_from_home,attrition
EMP00001,50,Male,Operations,Operations Executive,144879.0,14,No,5.0,5.0,79,3,24,No
EMP00002,45,Male,HR,HR Executive,92221.0,2,Yes,5.0,2.0,34,2,21,No
EMP00003,43,Female,Operations,Operations Executive,118016.0,11,Yes,1.0,3.0,63,2,28,No
EMP00004,36,Male,Sales,Sales Executive,60773.0,14,Yes,3.0,4.0,59,4,3,No
EMP00005,28,Male,Marketing,Marketing Executive,105038.0,8,No,2.0,4.0,64,2,9,Yes
EMP00006,23,Female,HR,Recruiter,145923.0,19,Yes,4.0,4.0,12,3,14,No
EMP00007,25,Female,HR,Recruiter,91557.0,1,No,2.0,4.0,58,5,18,No
EMP00008,55,Female,HR,HR Executive,117093.0,9,Yes,4.0,4.0,66,5,16,No
EMP00009,45,Male,Sales,Sales Manager,130512.0,12,No,5.0,5.0,69,1,7,No
EMP00010,22,Female,IT,System Admin,27695.0,11,Yes,3.0,3.0,12,3,35,No
EMP00011,26,Male,Operations,Operations Manager,51854.0,9,No,2.0,1.0,32,1,8,Yes
EMP00012,54,Female,Sales,Sales Manager,60222.0,15,Yes,5.0,3.0,48,3,35,No
EMP00013,58,Male,Operations,Operations Executive,104309.0,14,Yes,3.0,1.0,9,2,14,Yes
EMP00014,30,Male,IT,Developer,112054.0,14,Yes,2.0,2.0,55,1,32,Yes
EMP00015,58,Female,Finance,Financial Analyst,81044.0,6,No,3.0,5.0,40,5,32,No
EMP00016,43,Female,HR,Recruiter,134225.0,1,Yes,5.0,1.0,10,4,28,Yes
EMP00017,41,Male,Operations,Operations Manager,43047.0,10,Yes,2.0,4.0,66,1,1,Yes
EMP00018,34,Male,Marketing,Marketing Executive,34474.0,8,No,3.0,1.0,66,5,33,Yes
EMP00019,45,Male,Finance,Financial Analyst,98530.0,14,No,1.0,4.0,66,1,12,Yes
EMP00020,23,Male,Sales,Sales Executive,48664.0,2,No,5.0,1.0,60,1,2,No
EMP00021,44,Male,Finance,Financial Analyst,63623.0,4,Yes,1.0,1.0,23,2,26,No
EMP00022,53,Male,Marketing,SEO Specialist,77662.0,3,No,3.0,3.0,21,5,34,No
EMP00023,32,Male,Finance,Financial Analyst,47671.0,15,No,1.0,1.0,63,5,3,No
EMP00024,57,Female,HR,HR Executive,149249.0,18,No,3.0,3.0,24,4,33,No
EMP00025,39,Female,Marketing,SEO Specialist,62504.0,7,Yes,3.0,4.0,61,1,23,No
EMP00026,56,Male,HR,Recruiter,71843.0,6,Yes,2.0,1.0,64,1,2,No
EMP00027,33,Male,Sales,Sales Executive,142796.0,4,No,3.0,1.0,23,3,20,No
EMP00028,54,Female,Marketing,Marketing Executive,37874.0,19,No,1.0,4.0,42,4,35,Yes
EMP00029,46,Female,Marketing,SEO Specialist,27200.0,2,Yes,5.0,2.0,70,3,16,No
EMP00030,57,Female,Operations,Operations Executive,63467.0,0,No,1.0,5.0,52,4,8,No
EMP00031,38,Female,Sales,Sales Manager,95091.0,0,Yes,3.0,3.0,26,5,8,No
EMP00032,55,Female,Finance,Accountant,64790.0,0,Yes,1.0,5.0,65,3,4,Yes
EMP00033,38,Female,Marketing,Marketing Executive,149123.0,11,Yes,5.0,5.0,10,3,37,No
EMP00034,52,Male,HR,Recruiter,91235.0,2,Yes,1.0,4.0,67,5,21,Yes
EMP00035,54,Female,Marketing,SEO Specialist,148007.0,2,Yes,2.0,1.0,58,2,3,Yes
EMP00036,45,Female,Sales,Sales Manager,97991.0,17,Yes,2.0,3.0,6,2,17,No
EMP00037,30,Male,Sales,Sales Executive,103069.0,10,Yes,5.0,2.0,30,3,25,No
EMP00038,28,Male,Operations,Operations Manager,95316.0,3,Yes,4.0,1.0,12,4,23,Yes
EMP00039,55,Male,HR,Recruiter,145607.0,1,No,3.0,1.0,62,5,22,No
EMP00040,43,Male,Marketing,SEO Specialist,133211.0,16,Yes,2.0,3.0,64,5,33,No
EMP00041,26,Female,Operations,Operations Manager,112235.0,6,No,5.0,4.0,51,3,16,No
EMP00042,51,Male,Finance,Financial Analyst,111672.0,18,Yes,3.0,4.0,62,2,37,Yes
